日期,集中精力,短暂休息,长休息,开始时间,结束时间
2026-03-17,1,,,2026-03-17 15:31:40,2026-03-17 15:31:43
2026-03-17,,1,,2026-03-17 15:31:43,2026-03-17 15:31:45
2026-03-17,,5,,2026-03-17 15:40:17,2026-03-17 15:45:17
2026-03-17,,5,,2026-03-17 15:46:58,2026-03-17 15:51:59
2026-03-17,,5,,2026-03-17 15:54:14,2026-03-17 15:59:14
2026-03-17,,2,,2026-03-17 16:12:06,2026-03-17 16:14:06
2026-03-17,13,,,2026-03-17 16:14:28,2026-03-17 16:27:28
2026-03-17,,,15,2026-03-17 16:27:52,2026-03-17 16:42:52
2026-03-17,1,,,2026-03-17 16:57:46,2026-03-17 16:58:50
2026-03-17,,1,,2026-03-17 16:59:48,2026-03-17 17:00:48
2026-03-17,1,,,2026-03-17 17:03:54,2026-03-17 17:05:12
